Institución,Latitude,Longitude,url,País
Administración de Parques Nacionales,-44.79850,-65.71033,https://www.argentina.gob.ar/parquesnacionales,Agentina
Fundación ProyectoSub,-42.76207,-65.03503,https://www.proyectosub.org.ar/,Agentina
Instituto de Conservacion de Ballenas,-42.58487,-64.28865,https://ballenas.org.ar/,Agentina
Argentina Submarina,-54.80191,-68.30295,https://www.instagram.com/argentinasubmarina/,Agentina
Propósito Azul,-34.51955,-58.47714,https://www.instagram.com/propositoazul/,Agentina
Proyecto Arrecife,-42.89593796,-64.58489449,https://www.instagram.com/proyectoarrecife/,Agentina
Museo Katsuo,31.86546821,-116.6620797,https://www.instagram.com/museokatsuo/,México
Manta México Caribe AC,21.23287531,-86.73405489,https://www.mantacaribbeanproject.org/volunteer,México
Fundación Contamos Contigo Ecuador,-0.870222,-80.540278,https://fundacion.contamoscontigoecuador.org/,Ecuador
Fundación Amiguitos del Océano,-2.162944,-79.946611,https://amiguitosdeloceano.com/,Ecuador
Blue Wave EC,-2.206069712,-80.87349892,https://bluewave-ec.com/,Ecuador
Naveducando,-0.747611,-90.313389,https://www.instagram.com/naveducando/?hl=es-la,Ecuador
